evidence_id,observation_id,hypothesis_id,claim,evidence,source_type,source_grade,source_title,source_url,date,jurisdiction,supports_or_challenges,notes
E001,HK-CROSSBORDER-001,,"[观察] 2026年8月20日在机场看到一辆同时出现香港牌和广东牌的车辆，并将其识别为“两地牌车”。","观察卡只记录了双牌车辆和机场场景，未记录具体机场、车牌位置、车辆类型、驾驶人或许可证。",field observation,E,"HK-CROSSBORDER-001 Observation Card","research/urban-observation/observations/hong-kong/HK-CROSSBORDER-001.yaml",2026-08-20,香港机场,neutral,"material_class: direct_observation; not documentary proof; vehicle category remains uncertain"
E002,HK-CROSSBORDER-001,"H1|H4","[规定] 传统粤港跨境车辆申请香港封闭道路通行许可证前，需要先取得广东省公安厅车辆管理部门的 Mainland Approval Notice；车辆申请和获发许可证时须有有效香港车辆牌照；跨境司机在内地驾驶须持有效内地驾驶证。","香港运输署列明广东批准通知书、香港封闭道路通行许可证、有效香港车辆牌照和内地驾驶证之间的申请关系。",official regulation,A,"Application for Closed Road Permit for cross-boundary vehicles travelling between Guangdong and Hong Kong","https://www.td.gov.hk/en/public_services/licences_and_permits/closed_road_permit_for_cross_boundary_vehicles/how_to_apply_for_closed_road_permit_for_boundary/",2026-06-04,香港/广东, supports,"material_class: current_rule; this describes the regular cross-boundary permit route, not every newer designated scheme"
E003,HK-CROSSBORDER-001,H1,"[规定/行政管理] 广东省公安厅交通管理局将《粤港澳机动车辆往来及驾驶人驾车批准通知书》第一顺位驾驶人定义为港澳入境两地牌车辆的主驾驶人，并以其内地驾驶证信息处理交通违法。","广东省公安厅交通管理局公告说明主驾驶人顺位和使用内地驾驶证注册交管12123的方式。",official administrative notice,A,"港澳入境两地牌车辆交通违法网上查询及处理提示","https://gdga.gd.gov.cn/jgj/gggs/content/post_4278031.html",2023-11-07,广东, supports,"material_class: current_administrative_practice; shows driver registration is tied to an approval notice and Mainland licence"
E004,HK-CROSSBORDER-001,"H1|H4","[规定] 港车北上经港珠澳大桥临时入出广东的专门管理办法要求车辆在香港登记并有有效牌照；每车最多备案两名驾驶人；备案驾驶人须为符合条件的香港居民并持内地机动车驾驶证；申请需提交香港车辆登记文件、内地交强险和驾驶人证件。","广东省人民政府公报中的管理办法列出车辆、驾驶人、保险、登记文件、口岸监管和备案要求。",official regulation,A,"广东省关于香港机动车经港珠澳大桥珠海公路口岸入出内地的管理办法","https://www.gd.gov.cn/attachment/0/520/520150/4181060.pdf",2023,广东/港珠澳大桥, supports,"material_class: current_rule; scope is Northbound Travel via HZMB and should not be assumed identical to regular 粤港两地牌 quotas"
E005,HK-CROSSBORDER-001,H4,"[规定/道路系统事实] 内地采用右侧通行、方向盘通常在左侧；香港采用左侧通行、方向盘通常在右侧；香港运输署明确提醒左舵车在香港行驶时视野会受限。","香港运输署道路安全资料直接比较内地和香港道路设计，并说明左舵车在香港的安全风险。",official road-safety guidance,A,"Road Safety: Road Design in the Mainland and Hong Kong","https://www.td.gov.hk/en/public_services/licences_and_permits/southboundtravel/stfgveiua/rsi/index.html",2026,香港/内地, supports,"material_class: current_rule_and_official_description; it does not by itself prove which steering layout the observed vehicle had"
E006,HK-CROSSBORDER-001,H4,"[规定] 香港通常限制左舵车辆的登记和使用，但运输署可在特定情形下许可个别左舵车上路，例如跨境内地公务或企业车辆、特殊用途车辆等。","香港政府对立法会的答复说明左舵车与香港左侧通行道路系统不完全匹配，同时保留特定例外许可。",official legislative reply,A,"LCQ3: Using China-made new energy vehicles in Hong Kong","https://www.info.gov.hk/gia/general/202404/10/P2024041000311.htm",2024-04-10,香港, supports,"material_class: current_rule; supports coexistence through exceptions, but does not establish that all two-plate vehicles are LHD or RHD"
E007,HK-CROSSBORDER-001,"H1|H4|H5","[规定] 粤车南下入港方案要求广东登记的非营运小型载客车；每名申请人最多指定两名驾驶人；指定驾驶人须同时持有内地机动车驾驶证和包含私家车准驾资格的香港正式驾驶执照；车辆在香港道路行驶须有香港第三者保险。拥有广东—香港常规配额的车辆不能申请该方案。","香港运输署申请指南同时列出车辆、驾驶人、保险和常规配额排除条件。",official regulation,A,"Southbound Travel for Guangdong Vehicles: Application Guide","https://www.td.gov.hk/en/public_services/licences_and_permits/southboundtravel/stfgveiua/ag/",2026-08,香港/广东, supports,"material_class: current_rule; crucial distinction between STGV and the older regular-quota two-plate system"
E008,HK-CROSSBORDER-001,"H1|H3|H5","[规定] 粤车南下申请由广东和香港政府联合审核，申请后还需车辆检验、取得许可证、完成内地手续并预约经港珠澳大桥入港；车辆须有香港第三者责任保险。","香港运输署粤车南下专页说明联合审核、车辆检验、许可证、预约和保险流程。",official administrative procedure,A,"Southbound Travel for Guangdong Vehicles (Entry into Urban Area)","https://www.td.gov.hk/en/public_services/licences_and_permits/southboundtravel/stfgveiua/index.html",2026-08,香港/广东/港珠澳大桥, supports,"material_class: current_rule_and_procedure; actual compliance of the observed car is unverified"
E009,HK-CROSSBORDER-001,"H1|H4","[规定/范围受限] 海关办理来往港澳货运车辆备案时，材料目录包括机动车行驶证、粤港澳机动车辆往来及驾驶人驾车批准通知书，以及境外政府机构签发的车辆登记文件。","海关政务服务办事指南列出港澳货运车辆备案所需的行驶证、批准通知书和境外车辆登记文件。",official customs procedure,A,"来往香港、澳门货运车辆备案登记办事指南","https://online.customs.gov.cn/static/pages/guides/000629018001/000629018001.html",2025,内地/港澳, supports,"material_class: current_rule; cargo-vehicle scope only; cannot be generalized to private cars without further evidence"
E010,HK-CROSSBORDER-001,"H1|H2","[历史事实/官方记录] 香港政府在2015年立法会答复中确认，粤港政府自1982年起共同实施和管理覆盖多类跨境车辆的配额制度，以规范和控制跨境交通。","官方答复明确给出1982年作为联合配额制度的起点，并列出2012—2014年各类车辆数量。",official legislative reply,A,"LCQ17: Cross-boundary transport arrangements","https://www.info.gov.hk/gia/general/201501/28/P201501280314.htm",2015-01-28,香港/广东, supports,"material_class: historical_fact_recorded_in_official_reply; 1982 is a documented quota-system milestone, not necessarily the first-ever cross-border vehicle"
